cluster;instance;feature_1;feature_2;feature_3;feature_4;feature_5;feature_6;feature_7;feature_8;feature_9;feature_10;feature_11;feature_12;feature_13;feature_14;feature_15;feature_16;feature_17;feature_18;feature_19;feature_20;feature_21;feature_22;feature_23;feature_24;feature_25;feature_26;feature_27;feature_28;feature_29;feature_30;feature_31;feature_32;feature_33;feature_34;feature_35;feature_36;feature_37
Cluster_2;instance_9;117483,26497;0.6294247084354299;0.001199605740750347;0.9428516030311584;0.024918070464629526;117322.58571428571,26174.164151637833;0;15027535752.514252;10664702792.106888;0.4961977678027963;-0.20730390315693015;116596.20131473572;6.33849584612437e-05;0.9930188059806824;117259,26145;193190.65952665906;461431.6892116514;0.6111111111111112;0.8808731137427848;2.4318181818181817,-0.7272727272727272,-0.7272727272727272,10.49793388429752;0.2903225806451613;0.2938580015026296,0.034699341428265806,0.011073528093800276,0.005718471216077536,4.5087592655959e-05,0.0010518383406439165,-6.152252882777301e-06;0.0;0.9101632833480835;0.9898028373718262;0.9661144397475503;95860.77401747825;0.7096774193548387;6.1537227761807625;0.026233776950372965;6.33849584612437e-05;461985.2253149938;152738948.0183034;12.40175425099138;0.05526859504132232,0.016528925619834708,-0.005889778331346251,0.23858940646130727,0.012685676405976528,0.010851837112157018,0.0,0.0,0.0;-0.8544424237314588;0.974105179309845
Cluster_2;instance_10;117227,24575;1.5689530570259314;0.0;0.935370147228241;0.02807202935218811;117194.57416413374,24478.93117408907;0;1939036871.2921615;1939036871.2921615;0.4805061467040842;-2.0;49716.78728928925;1.1524537902044309e-05;0.9915142059326172;117131,24351;64838.66314612136;124621.50474314755;1.0;0.8944271909999159;0.25,-0.0,-0.0,1.25;0.0;0.1875,0.015625,0.0,0.0,0.0,0.0,0.0;0.0;0.935370147228241;0.9915142059326172;0.9634421765804291;31155.37618578689;1.0;2.0;0.04161965299550847;1.1524537902044309e-05;124621.50474314755;380728999.36819947;4.16227766016838;0.03125,nan,0.0,0.15625,0.0,0.0048828125,0.0,0.0,0.0;0.0;0.9634421765804291
Cluster_2;instance_11;117227,23037;3.1379061140518627;0.0;0.9498540759086609;0.0;117194.57416413374,23005.06882591093;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.9498540759086609;117131,22941;37607.86586428122;62310.75237157378;1.0;0.0;0.25,-0.0,-0.0,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.9498540759086609;0.9498540759086609;0.9498540759086609;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,0.0,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.9498540759086609
Cluster_2;instance_12;117355,25729;1.1883194751439008;0.15931290860503663;0.9452976882457733;0.019856955551525862;117226.57705167173,25568.30769230769;0;4847592178.230404;3878073742.584323;0.3807231224011162;-0.8886461045032168;70310.15486213115;2.3049075804088618e-05;0.9717602729797363;117259,25632;125728.57694983236;202509.94520761477;0.4444444444444444;0.9345345980638379;3.0,-2.0,-2.0,2.25;0.20000000000000004;0.328125,0.064697265625,0.0089263916015625,0.0035552978515625,2.0012492313981056e-05,0.0008685588836669922,-8.046627044677734e-07;0.0;0.9187782406806946;0.9636438637971878;0.9514036029577255;47867.77639138919;0.8;3.0728421384445688;0.013063778118061566;2.3049075804088618e-05;234772.39360008648;288362792.4208848;8.071067811865476;0.1875,0.125,-0.03125,0.140625,-0.015625,0.0380859375,0.0,0.0,0.0;-0.8111540957083659;0.9575379490852356
Cluster_2;instance_13;117099,23550;1.5689530570259314;0.0;0.9561977386474609;0.008542150259017944;117066.56261398176,23453.635627530366;0;1939036871.2921615;1939036871.2921615;0.4805061467040842;-2.0;49716.78728928925;1.1524537902044309e-05;0.9732820391654968;117003,23325;64838.66314612136;124621.50474314755;1.0;0.8944271909999159;0.25,-0.0,-0.0,1.25;0.0;0.1875,0.015625,0.0,0.0,0.0,0.0,0.0;0.0;0.9561977386474609;0.9732820391654968;0.9647398889064789;31155.37618578689;1.0;2.0;0.012664610924828207;1.1524537902044309e-05;124621.50474314755;380728999.36819947;4.16227766016838;0.03125,0.0,0.0,0.15625,0.0,0.0048828125,0.0,0.0,0.0;0.0;0.9647398889064789
Cluster_2;instance_14;116971,22140;1.5689530570259314;0.0;0.962302565574646;0.004423081874847412;116874.5452887538,22107.935222672066;0;1939036871.2921615;1939036871.2921615;0.4805061467040842;-2.0;49716.78728928925;1.1524537902044309e-05;0.9711487293243408;116875,22044;64838.66314612136;124621.50474314755;1.0;0.8944271909999159;1.25,-0.0,-0.0,0.25;0.0;0.1875,0.015625,0.0,0.0,0.0,0.0,0.0;0.0;0.962302565574646;0.9711487293243408;0.9667256474494934;31155.37618578689;1.0;2.0;0.0065576710002806906;1.1524537902044309e-05;124621.50474314755;380728999.36819947;4.16227766016838;0.15625,0.0,0.0,0.03125,0.0,0.0048828125,0.0,0.0,0.0;0.0;0.9667256474494934
Cluster_2;instance_15;117099,21884;1.042349435809615;0.2050165514257981;0.9601464867591858;0.026566397485803014;116938.55106382979,21680.72874493927;0;8240906702.991686;5817110613.876484;0.49545751021653317;0.09881190136716178;86112.00157414353;3.4573613706132926e-05;0.9960530996322632;116875,21531;134213.82612228778;264820.69757918856;0.5;0.8921994734909411;1.5833333333333333,-1.3333333333333333,-1.3333333333333333,5.138888888888889;0.29411764705882354;0.2800925925925926,0.03429355281207133,0.002826042778031804,0.00023497434334197005,-9.626975355967848e-08,-2.446179350106602e-05,-1.6551783351860835e-07;0.0;0.9150190353393555;0.9865286350250244;0.9692053099473318;66497.24812718341;0.7058823529411765;4.268749491621899;0.018604531589864755;3.4573613706132926e-05;319113.323743048;252941065.3242017;8.615773105863909;0.06597222222222222,0.05555555555555555,0.007560153527108572,0.21412037037037038,0.015120307054217146,0.01309719007201646,0.0,0.0,0.0;-1.1837194169955956;0.9787423014640808
Cluster_2;instance_16;116587,21755;1.2437086162621762;0.0437330663539751;0.9434442520141602;0.02141390503151284;116400.90255319148,21672.184615384613;0;5089971787.141924;4847592178.230404;0.6000306208387761;-0.5226324049121147;78609.14289013132;2.8811344755110774e-05;0.973602831363678;116362,21659;106410.43799545955;221313.8781397554;0.8333333333333334;0.7770286898858113;2.4899999999999998,-0.48,-0.48,1.2100000000000002;0.04761904761904758;0.185,0.0063999999999999994,0.0011520000000000002,0.00012799999999999986,4.915199999999992e-08,1.023999999999999e-05,5.955700410381799e-23;0.0;0.9088948965072632;0.9570057392120361;0.9468921422958374;63849.521174141686;0.9523809523809523;4.09878030638384;0.011962732369978538;2.8811344755110774e-05;230992.61265749688;301803763.2513311;6.830951894845301;0.1245,nan,0.007870959280799263,0.0605,-0.002146625258399798,0.00682825,0.0,0.0,0.0;-0.7069816722374404;0.9515129923820496
Cluster_2;instance_17;116074,21884;1.2437086162621762;0.0437330663539751;0.9323377013206482;0.02612562634883393;115991.26559270517,21749.081781376517;0;5089971787.141924;4847592178.230404;0.6000306208387761;-1.261339750988525;78609.14289013132;2.8811344755110774e-05;0.9840393662452698;115978,21659;106410.43799545955;221313.8781397554;0.8333333333333334;0.7770286898858113;1.2100000000000002,0.48,0.48,2.4899999999999998;0.04761904761904758;0.185,0.0063999999999999994,0.001152,0.00012799999999999989,4.915199999999992e-08,1.023999999999999e-05,7.610061635487855e-23;0.0;0.9105011224746704;0.9639225006103516;0.9509348750114441;63849.521174141686;0.9523809523809523;4.09878030638384;0.0298976846321636;2.8811344755110774e-05;230992.61265749688;301803763.2513311;6.830951894845301;0.0605,-0.024,0.0021466252583997977,0.1245,0.007870959280799263,0.00682825,0.0,0.0,0.0;-0.35778688681754306;0.9638736844062805
Cluster_2;instance_18;116971,24062;0.26613892945617385;0.34683498686128417;0.9809086322784424;0.022953593857461794;116086.88238322685,23035.583574320415;0;203841251094.58847;142519210039.97388;0.5916961636538141;2.7850980949259405;426232.6617823648;0.0008470535358002567;0.9999897480010986;116106,23197;616884.5197653903;2594104.29318964;0.5764705882352941;0.7920018200564459;44.69370401221711,-22.17298347910593,-22.17298347910593,81.68310657596373;0.3008323424494649;0.21492654861935523,0.009645230828247846,0.0009288326373956821,0.00015102549176820195,5.079998040518992e-08,1.3222679597267463e-05,-2.4877844359192543e-08;0.0;0.9034626483917236;0.9990647435188293;0.9842815172104609;365008.20376260695;0.6991676575505351;23.431474656956574;0.005749085696299013;0.0008470535358002567;1694378.1647444104;64582434.66942567;39.600518131237564;0.07600970070104952,0.037709155576710764,0.002345438695541294,0.1389168479183057,0.009533798754195275,0.011759352346558023,0.0,0.0,0.0;-1.8853617371827553;0.9958398342132568
